id,title,company,location,description,required_skills,duration,applyBy,type,salary
1,AI Research Intern,Smart Solutions,Kolkata,"Research AI systems and NLP models.","Python, Transformers, AWS, Docker",6 Months,Dec 25 2025,Remote,₹25000/month
2,Frontend Developer Intern,TechNova,Mumbai,"Build responsive web interfaces.","React, JavaScript, CSS, HTML",3 Months,Jan 10 2025,Full-time,₹18000/month
3,Backend Developer Intern,CodeCraft,Bangalore,"Develop backend APIs and databases.","Node.js, Express, MongoDB, REST API",6 Months,Jan 15 2025,Remote,₹22000/month
4,Graphic Design Intern,Creative Pixel,Delhi,"Create branding and social media creatives.","Photoshop, Illustrator, Canva, Creativity",4 Months,Jan 20 2025,Part-time,₹15000/month
5,HR Intern,PeopleFirst,Pune,"Assist in recruitment and onboarding processes.","Communication, HR Management, MS Excel",3 Months,Feb 01 2025,Hybrid,₹14000/month
6,Content Writing Intern,MediaBuzz,Chennai,"Write blogs and marketing content.","Writing, SEO, Research, Creativity",4 Months,Jan 30 2025,Remote,₹12000/month
7,Cybersecurity Intern,SecureTech,Noida,"Assist in security testing and monitoring.","Networking, Kali Linux, Python",6 Months,Feb 10 2025,Full-time,₹23000/month
8,Sales Intern,MarketEdge,Ahmedabad,"Generate leads and manage client outreach.","Communication, Sales, CRM",3 Months,Jan 18 2025,Part-time,₹13000/month
9,Digital Marketing Intern,Brandify,Gurgaon,"Manage SEO and social campaigns.","SEO, Social Media, Analytics",5 Months,Feb 15 2025,Hybrid,₹17000/month
10,Mobile App Developer Intern,Appify,Hyderabad,"Develop Android and iOS applications.","Flutter, Firebase, Dart",4 Months,Feb 20 2025,Remote,₹21000/month
11,Machine Learning Intern,DeepVision,Kolkata,"Train machine learning models.","Python, TensorFlow, ML, Data Science",6 Months,Mar 01 2025,Remote,₹28000/month
12,Operations Intern,LogiFlow,Mumbai,"Manage operational workflows and logistics.","Operations, Excel, Coordination",4 Months,Mar 05 2025,Full-time,₹16000/month
13,Business Analyst Intern,InsightCorp,Bangalore,"Analyze business data and reports.","Excel, SQL, Analytics",5 Months,Mar 10 2025,Hybrid,₹19000/month
14,UI UX Design Intern,DesignHub,Pune,"Design user-friendly interfaces.","Figma, Adobe XD, Wireframing",3 Months,Mar 12 2025,Part-time,₹18000/month
15,Finance Intern,FinServe,Delhi,"Assist in budgeting and financial analysis.","Finance, Excel, Accounting",4 Months,Mar 15 2025,Full-time,₹20000/month
16,Software Engineer Intern,NextGen Tech,Chennai,"Develop scalable software applications.","Java, Spring Boot, SQL",6 Months,Mar 18 2025,Hybrid,₹24000/month
17,Product Management Intern,Visionary Labs,Noida,"Assist product managers in planning features.","Agile, Communication, Product Management",5 Months,Mar 20 2025,Remote,₹22000/month
18,SEO Intern,SearchBoost,Gurgaon,"Improve website search rankings.","SEO, Google Analytics, Marketing",3 Months,Mar 25 2025,Part-time,₹14000/month
