id,title,skills,location,company
1,Web Developer Intern,HTML CSS JavaScript React,Remote,Tech Corp
2,Data Scientist Intern,Python R SQL Machine Learning,Work From Home,Data Solutions
3,Graphic Designer Intern,Photoshop Illustrator Figma,Bhopal,Design Co
4,Backend Developer Intern,Node.js Express MongoDB Python,Delhi,Dev Squad
5,Digital Marketing Intern,SEO SEM Social Media,Ranchi,Digital Hub
6,Mobile App Developer,React Native JavaScript,Patna,Code Wizards
7,System Enigneer,ReactJS NodeJS ExpressJS, Jharkhand,TCL Pvt. Ltd
8,Digital Marketing Executive,SEO Google Ads Social Media Marketing,Delhi,Aditya Marketing Solutions
9,Software Developer,Python Django REST APIs Git,Bangalore,TechNova Labs
10,HR Manager,Recruitment Payroll Employee Relations,Mumbai,PeopleFirst Pvt Ltd
11,Mobile App Developer,Flutter Dart Firebase,Noida,Appify Labs
12,HR Executive,Onboarding Documentation HRMS,Ahmedabad,HRLink Solutions
13,Content Strategist,Editing Keyword Research Analytics,Jaipur,StoryLab Media
14,Data Analyst,Excel Power BI SQL Python,Bangalore,Insightify Analytics
15,Digital Marketing Intern,Canva Social Media Analytics,Lucknow,BrandUp Digital
16,Software Tester,Selenium Manual Testing Jira,Chandigarh,SoftCheck QA
17,UI/UX Designer,Figma Prototyping User Research,Mumbai,PixelPerfect Designs
18,Performance Marketer,Google Ads Meta Ads ROI Analysis,Bangalore,AdWaves
19,Front-End Developer,HTML CSS JavaScript React,Hyderabad,NextGen Developers
20,Corporate HR Specialist,Training Performance Review Compliance,Delhi,BlueStone Enterprises
21,Content Writer,Copywriting SEO Blog Writing WordPress,Pune,Inkspire Media
22,Full Stack Developer,React Node.js MongoDB Express,Hyderabad,CodeCraft Technologies
23,Social Media Manager,Instagram Ads; Analytics Branding,Kolkata,TrendBoost Agency
24,Backend Engineer,Java; Spring Boot MySQL,Chennai,Infotech Systems
25,Technical Recruiter,IT Hiring Communication LinkedIn Sourcing,Gurgaon,TalentBridge HR
26,Graphic Designer,Adobe Photoshop Illustrator Canva,Indore,Creative Hive Studio
27,Product Marketing Associate,Market Research Campaigns Analytics,Bangalore,VisionEdge Tech
